3.00 0.0200 0.682    ni59     59   1.1082021E-07  1.1082021E-07  0.0000000E+00  4.7808545E-08  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    ni60     60   4.6012065E-07  4.5943259E-05  4.5483139E-05  1.9820214E-05  1.9622994E-05  4.3430519E-03
3.00 0.0200 0.682    ni61     61   1.5873884E-05  1.7870107E-05  1.9962222E-06  7.7092782E-06  8.6123907E-07  9.5188999E-01
3.00 0.0200 0.682    ni62     62  -6.3947978E-06  5.3698486E-08  6.4484962E-06  2.3165869E-08  2.7821034E-06 -2.0795248E+00
3.00 0.0080 0.694       g      1   5.5274118E-06  5.5797182E-06  5.2306408E-08  2.4196522E-06  2.2684230E-08  2.0280290E+00
3.00 0.0080 0.694       n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694       p      1  -1.6587174E-01  1.5340152E+00  1.6998869E+00  6.6522777E-01  7.3720652E-01 -4.4618808E-02
3.00 0.0080 0.694       d      2   1.4930762E-17  1.4930762E-17  0.0000000E+00  6.4747451E-18  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694     he3      3   2.4531985E-04  2.4531985E-04  0.0000000E+00  1.0638328E-04  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694     he4      4   1.2274945E-01  7.1121621E-01  5.8846676E-01  3.0841985E-01  2.5520611E-01  8.2251251E-02
3.00 0.0080 0.694     li7      7  -4.1354045E-09  1.6615706E-10  4.3015613E-09  7.2054231E-11  1.8655000E-09 -1.4131358E+00
3.00 0.0080 0.694     be7      7   4.3917056E-14  4.3917056E-14  0.0000000E+00  1.9044690E-14  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694      b8      8   3.4485130E-29  3.4485130E-29  0.0000000E+00  1.4954523E-29  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694     c12     12   3.3385992E-02  3.6183726E-02  2.7977335E-03  1.5691122E-02  1.2133204E-03  1.1116785E+00
3.00 0.0080 0.694     c13     13   3.9003302E-05  7.2674397E-05  3.3671095E-05  3.1515348E-05  1.4602471E-05  3.3409578E-01
3.00 0.0080 0.694     c14     14   4.3879119E-08  4.3879119E-08  0.0000000E+00  1.9028239E-08  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694     n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694     n14     14   1.4468151E-03  2.4661974E-03  1.0193823E-03  1.0694698E-03  4.4208541E-04  3.8366234E-01
3.00 0.0080 0.694     n15     15  -2.3416119E-06  1.6841377E-06  4.0257496E-06  7.3032857E-07  1.7458859E-06 -3.7849760E-01
3.00 0.0080 0.694     o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694     o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
