5.50 0.0200   20   8.959438E-01  3.630877E-03  2.198396E+01  2.397358E-03  8.943565E-01  6.602699E-01  3.341065E+08  7.691511E+07  8.385726E+07  6.069824E+03  5.338299E+00  3.508330E+04  6.988570E+07  6.398473E+02 -6.642751E+00  3.219438E+03
5.50 0.0200   21   8.962252E-01  3.621876E-03  2.082315E+01  2.467692E-03  9.211891E-01  6.813297E-01  3.363968E+08  7.775341E+07  8.417814E+07  6.044578E+03  5.312215E+00  3.534064E+04  7.744745E+07  6.405147E+02 -6.650686E+00  3.218964E+03
5.50 0.0200   22   8.965495E-01  3.694952E-03  2.109290E+01  2.586961E-03  9.265814E-01  7.001339E-01  3.398302E+08  7.839472E+07  8.449618E+07  6.240498E+03  5.280518E+00  3.564288E+04  9.598954E+07  6.426160E+02 -6.659932E+00  3.227079E+03
5.50 0.0200   23   8.968456E-01  3.732681E-03  2.093649E+01  2.680779E-03  9.298325E-01  7.181911E-01  3.415037E+08  7.889147E+07  8.473920E+07  6.405838E+03  5.241296E+00  3.588494E+04  1.110136E+08  6.443202E+02 -6.667280E+00  3.222421E+03
5.50 0.0200   24   8.971176E-01  3.753603E-03  1.965860E+01  2.774060E-03  9.394820E-01  7.390393E-01  3.470305E+08  7.921368E+07  8.493691E+07  6.528392E+03  5.190122E+00  3.609764E+04  1.268422E+08  6.483235E+02 -6.673697E+00  3.218715E+03
5.50 0.0200   25   8.974096E-01  3.861904E-03  1.918276E+01  2.881229E-03  9.397162E-01  7.460643E-01  3.441278E+08  7.927066E+07  8.503559E+07  6.741329E+03  5.111908E+00  3.612050E+04  1.573600E+08  6.540530E+02 -6.674384E+00  3.212702E+03
5.50 0.0200   26   8.976423E-01  3.844738E-03  1.852267E+01  2.823591E-03  9.067453E-01  7.344040E-01  3.486388E+08  7.916028E+07  8.508995E+07  6.820700E+03  4.985145E+00  3.610056E+04  1.708553E+08  6.590423E+02 -6.673784E+00  3.201545E+03
5.50 0.0200   27   8.978185E-01  3.765702E-03  2.064475E+01  2.790987E-03  9.303966E-01  7.411599E-01  3.484917E+08  7.874878E+07  8.497143E+07  6.590960E+03  4.770856E+00  3.570962E+04  1.616360E+08  6.612139E+02 -6.661963E+00  3.176643E+03
5.50 0.0200   28   8.980883E-01  3.808379E-03  2.006756E+01  2.884567E-03  9.424170E-01  7.574263E-01  3.505612E+08  7.788002E+07  8.477042E+07  6.706898E+03  4.467870E+00  3.492848E+04  1.691263E+08  6.683574E+02 -6.637949E+00  3.154352E+03
5.50 0.0200   29   8.983665E-01  3.910780E-03  1.966797E+01  3.040910E-03  9.614971E-01  7.775712E-01  3.541291E+08  7.644531E+07  8.447281E+07  6.917062E+03  4.159536E+00  3.386307E+04  2.223616E+08  6.765020E+02 -6.604317E+00  3.118651E+03
