Z=     0.0000
M                      0.9          1.0          1.2          1.5          1.8          1.9          2.0          2.2          2.5          3.0          3.5          4.0          4.5          5.0          5.5          6.0          6.5          7.0          8.0         10.0         11.0         13.0         15.0         18.0         20.0         25.0         30.0         40.0        100.0        140.0        140.0        150.0        170.0        200.0        270.0        300.0
E                       0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           9.          16.          28.          44.          49.          50.
Mrem                 0.798        0.843        0.902        0.962        1.021        1.056        1.080        1.085        1.090        1.101        1.103        1.105        1.107        1.109        1.110        1.112        1.114        1.116        1.120        1.150        1.500        1.570        1.480        1.650        1.660        1.920        2.070        2.890       10.430       13.199        0.000        0.000        0.000        0.000        0.000        0.000
C  12          0.64239E-04  0.28945E-03  0.49221E-03  0.53163E-03  0.40769E-03  0.25492E-03  0.12040E-03  0.25649E-03  0.43631E-03  0.92715E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.55262E-01  0.74066E-01  0.17161E+00  0.21849E+00  0.21055E+00  0.29357E+00  0.33746E+00  0.42870E+00  0.10791E+01  0.13179E+01  0.59033E+01  0.63250E+01  0.22970E+01  0.42410E+01  0.18860E+01  0.10592E+01
C  13          0.12793E-04  0.56825E-04  0.97036E-04  0.10562E-03  0.82579E-04  0.53573E-04  0.27910E-04  0.60038E-04  0.10255E-03  0.21871E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.28662E-06  0.83905E-07  0.62053E-07  0.26273E-08  0.11376E-07  0.14655E-07  0.10202E-07  0.32148E-08  0.67138E-07  0.90611E-07  0.30411E-06  0.32583E-06  0.38490E-06  0.34910E-06  0.47240E-03  0.63813E-03
N  14          0.14931E-03  0.61522E-03  0.13204E-02  0.19792E-02  0.25916E-02  0.29367E-02  0.31575E-02  0.63940E-02  0.10638E-01  0.22146E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.18322E-02  0.18322E-02  0.18580E-02  0.18913E-03  0.54226E-04  0.59124E-03  0.16378E-05  0.58923E-06  0.88761E-04  0.12114E-03  0.13294E-01  0.14244E-01  0.10390E-01  0.58390E-03  0.12630E-01  0.16859E-01
N  15          0.39376E-07  0.17956E-06  0.31128E-06  0.34815E-06  0.29019E-06  0.20989E-06  0.13738E-06  0.34626E-06  0.62756E-06  0.14074E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.28580E-03  0.63845E-07  0.68632E-07  0.23976E-07  0.11323E-07  0.11747E-06  0.16749E-07  0.62926E-06  0.90708E-04  0.12379E-03  0.57687E-06  0.61808E-06  0.48130E-05  0.11140E-05  0.18440E-01  0.24914E-01
O  16          0.18097E-03  0.68035E-03  0.11345E-02  0.11799E-02  0.81675E-03  0.40270E-03  0.44938E-04  0.86803E-04  0.14124E-03  0.28781E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.11344E+00  0.44963E+00  0.77272E+00  0.13788E+01  0.21053E+01  0.27910E+01  0.48120E+01  0.83820E+01  0.22637E+02  0.27872E+02  0.49523E+02  0.53060E+02  0.44230E+02  0.55950E+02  0.44310E+02  0.40223E+02
O  17          0.20418E-05  0.71365E-05  0.11867E-04  0.12276E-04  0.83635E-05  0.39411E-05  0.12851E-06  0.30052E-06  0.53046E-06  0.11641E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.16812E-05  0.16944E-05  0.15681E-05  0.27915E-06  0.68299E-07  0.14892E-05  0.18829E-07  0.14216E-08  0.44355E-06  0.60590E-06  0.36562E-04  0.39174E-04  0.45460E-04  0.77570E-06  0.15030E-01  0.20306E-01
O  18          0.49576E-06  0.22866E-05  0.37985E-05  0.39214E-05  0.26553E-05  0.12288E-05  0.64682E-10  0.13197E-09  0.22031E-09  0.46013E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.66569E-06  0.57921E-07  0.48937E-05  0.46303E-05  0.25246E-07  0.67454E-06  0.20647E-08  0.21284E-06  0.35035E-07  0.00000E+00  0.23576E-06  0.25260E-06  0.99850E-02  0.10540E-04  0.40100E-03  0.53808E-03
F  19          0.21107E-06  0.97728E-06  0.16235E-05  0.16761E-05  0.11350E-05  0.52540E-06  0.26484E-09  0.59741E-09  0.10401E-08  0.22560E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.16106E-07  0.11701E-09  0.19716E-08  0.79096E-08  0.16245E-08  0.17101E-08  0.89387E-09  0.23819E-09  0.23685E-06  0.32374E-06  0.97515E-08  0.10448E-07  0.64890E-06  0.94770E-07  0.20380E-05  0.27202E-05
Ne 20          0.75340E-07  0.27101E-06  0.28295E-05  0.78336E-05  0.15283E-04  0.20927E-04  0.25179E-04  0.64252E-04  0.11693E-03  0.26311E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.21786E-01  0.15286E-01  0.32650E+00  0.49379E+00  0.91209E+00  0.53301E+00  0.85071E+00  0.30724E+00  0.19772E+01  0.25904E+01  0.31580E+01  0.33836E+01  0.11900E+01  0.37480E+01  0.46970E+01  0.50302E+01
Ne 21          0.15720E-08  0.72806E-08  0.12252E-07  0.12972E-07  0.94419E-08  0.52835E-08  0.16611E-08  0.26630E-08  0.39002E-08  0.70808E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.49406E-06  0.54217E-06  0.37616E-04  0.91178E-04  0.42995E-04  0.13344E-04  0.55124E-04  0.10840E-04  0.65422E-03  0.89048E-03  0.82179E-03  0.88049E-03  0.16320E-03  0.20010E-03  0.93800E-03  0.11971E-02
