#  
#  1.0 Msun, Z = 0.001 
#  species  A   yield		mass(i)_lost	mass(i)_0	<X(i)>		X0(i)		log10(<X(i)>/X0(i)) 
Br	35	4.0579018e-10	1.2200864e-09	8.1429625e-10	2.0305097e-09	1.3551797e-09	1.7560816e-01
Kr	36	4.1407795e-09	8.5056235e-09	4.3648441e-09	1.4155351e-08	7.2641233e-09	2.8973742e-01
Rb	37	5.7639593e-10	1.4084578e-09	8.3206189e-10	2.3440038e-09	1.3847459e-09	2.2858821e-01
Sr	38	6.5490892e-09	8.4921991e-09	1.9431099e-09	1.4133010e-08	3.2337902e-09	6.4052281e-01
Y	39	1.6455503e-09	2.0693459e-09	4.2379562e-10	3.4438764e-09	7.0529521e-10	6.8867662e-01
Zr	40	4.6374687e-09	5.5459768e-09	9.0850817e-10	9.2298049e-09	1.5119705e-09	7.8564921e-01
Nb	41	2.8709000e-10	3.5727722e-10	7.0187221e-11	5.9459300e-10	1.1680798e-10	7.0674728e-01
Mo	42	7.7748134e-10	9.6382350e-10	1.8634218e-10	1.6040282e-09	3.1011705e-10	7.1368635e-01
Ru	44	4.4534478e-10	5.7145991e-10	1.2611513e-10	9.5104319e-10	2.0988513e-10	6.5621858e-01
Rh	45	3.6277782e-11	7.0999896e-11	3.4722114e-11	1.1816046e-10	5.7785734e-11	3.1065154e-01
Pd	46	4.7166716e-10	5.9308445e-10	1.2141728e-10	9.8703148e-10	2.0206680e-10	6.8883603e-01
Ag	47	7.3118214e-11	1.2335771e-10	5.0239496e-11	2.0529614e-10	8.3610293e-11	3.9012103e-01
Cd	48	7.7131874e-10	9.2565673e-10	1.5433799e-10	1.5405097e-09	2.5685457e-10	7.7797713e-01
In	49	5.7148231e-11	7.5744646e-11	1.8596415e-11	1.2605684e-10	3.0948792e-11	6.0992271e-01
Sn	50	2.3259161e-09	2.6797421e-09	3.5382599e-10	4.4597189e-09	5.8884935e-10	8.7930328e-01
Sb	51	7.1022120e-11	9.1820425e-11	2.0798305e-11	1.5281070e-10	3.4613253e-11	6.4491135e-01
Te	52	9.7005728e-10	1.1596303e-09	1.8957303e-10	1.9298966e-09	3.1549394e-10	7.8654301e-01
I	53	6.0828515e-11	1.9313205e-10	1.3230353e-10	3.2141698e-10	2.2018408e-10	1.6428290e-01
Xe	54	1.3063538e-09	1.9195673e-09	6.1321341e-10	3.1946097e-09	1.0205308e-09	4.9559170e-01
Cs	55	8.4998084e-11	1.3194643e-10	4.6948347e-11	2.1958978e-10	7.8133050e-11	4.4877735e-01
Ba	56	9.3164939e-09	9.9259794e-09	6.0948556e-10	1.6519156e-08	1.0143268e-09	1.2118099e+00
La	57	9.2275480e-10	9.8306316e-10	6.0308361e-11	1.6360474e-09	1.0036724e-10	1.2122039e+00
Ce	58	2.8661878e-09	3.0220294e-09	1.5584157e-10	5.0293650e-09	2.5935688e-10	1.2876154e+00
Pr	59	2.5967534e-10	2.8349793e-10	2.3822591e-11	4.7180698e-10	3.9646373e-11	1.0755609e+00
Nd	60	1.6693160e-09	1.7818076e-09	1.1249151e-10	2.9653453e-09	1.8721224e-10	1.1997410e+00
Sm	62	2.7630761e-10	3.0469051e-10	2.8382901e-11	5.0707641e-10	4.7235798e-11	1.0308022e+00
Eu	63	2.1781461e-11	3.6226630e-11	1.4445170e-11	6.0289602e-11	2.4040147e-11	3.9930530e-01
Gd	64	1.9205368e-10	2.3236015e-10	4.0306475e-11	3.8670173e-10	6.7079419e-11	7.6078683e-01
Tb	65	2.0314173e-11	3.0067473e-11	9.7532995e-12	5.0039320e-11	1.6231776e-11	4.8894536e-01
Dy	66	2.8070903e-10	3.4500402e-10	6.4294989e-11	5.7416753e-10	1.0700193e-10	7.2964703e-01
Ho	67	2.5442837e-11	3.9740159e-11	1.4297322e-11	6.6136936e-11	2.3794094e-11	4.4397490e-01
