0     2.5E4   85Kr    1.13E-17  2.29E-18  3.02E-17  2.02E-14  3.27E-14  8.86E-13
0     2.5E4   90Sr    1.12E-19  3.82E-20  1.03E-17  2.04E-15  3.83E-14  2.96E-14
0     2.5E4   93Zr    6.68E-16  1.26E-17  7.72E-15  1.61E-12  4.20E-12  1.66E-10
1E-6  0        0ejec 11.56E+00 13.55E+00 18.34E+00 23.22E+00 28.07E+00 32.87E+00
1E-6  0        0remn  1.44E+00  1.45E+00  1.66E+00  1.78E+00  1.93E+00  2.13E+00
1E-6  0       56Ni    1.00E-01  1.00E-01  1.00E-01  1.00E-01  1.00E-01  1.00E-01
1E-6  0        1H     6.83E+00  7.70E+00  9.70E+00  1.14E+01  1.31E+01  1.47E+01
1E-6  0        2H     1.61E-16  1.29E-16  1.12E-16  1.27E-16  1.46E-16  1.68E-16
1E-6  0        3He    7.04E-05  6.41E-05  5.50E-05  4.97E-05  4.66E-05  4.45E-05
1E-6  0        4He    3.88E+00  4.51E+00  6.04E+00  7.51E+00  8.91E+00  1.03E+01
1E-6  0        6Li    7.86E-15  6.68E-15  4.60E-15  2.81E-15  9.18E-16  1.32E-17
1E-6  0        7Li    3.97E-16  2.89E-12  2.66E-11  3.97E-11  4.66E-11  5.37E-11
1E-6  0        9Be    2.04E-15  1.70E-15  1.18E-15  7.22E-16  3.10E-16  3.23E-59
1E-6  0       10B     1.43E-14  1.27E-14  9.92E-15  6.53E-15  3.82E-15  8.19E-16
1E-6  0       11B     1.27E-13  1.32E-13  1.49E-13  1.63E-13  1.75E-13  1.88E-13
1E-6  0       12C     1.04E-01  1.61E-01  3.69E-01  4.91E-01  7.18E-01  7.57E-01
1E-6  0       13C     3.92E-08  3.84E-08  6.48E-08  5.97E-08  7.81E-06  3.26E-05
1E-6  0       14N     4.58E-06  5.42E-06  1.27E-05  2.59E-05  3.98E-05  6.45E-05
1E-6  0       15N     8.62E-10  1.47E-09  7.16E-09  3.30E-08  3.10E-08  9.69E-08
1E-6  0       16O     2.31E-01  4.64E-01  1.18E+00  2.18E+00  3.45E+00  4.67E+00
1E-6  0       17O     4.63E-08  6.28E-08  5.23E-07  8.11E-07  1.38E-05  3.47E-05
1E-6  0       18O     4.69E-08  6.96E-08  9.00E-08  1.94E-07  1.92E-07  9.14E-07
1E-6  0       19F     1.21E-10  1.74E-10  4.24E-10  1.21E-09  1.42E-08  3.54E-07
1E-6  0       20Ne    4.31E-02  1.55E-01  2.59E-01  6.57E-01  6.68E-01  1.05E+00
1E-6  0       21Ne    1.87E-06  4.74E-06  4.11E-05  4.14E-05  5.24E-05  4.35E-05
1E-6  0       22Ne    8.60E-07  2.87E-06  1.96E-05  3.23E-05  3.65E-05  3.99E-05
1E-6  0       23Na    2.38E-04  7.59E-04  1.85E-03  2.88E-03  3.16E-03  2.95E-03
1E-6  0       24Mg    3.58E-02  6.13E-02  1.04E-01  1.37E-01  1.82E-01  2.06E-01
1E-6  0       25Mg    1.03E-04  1.09E-04  2.89E-04  3.21E-04  3.11E-04  2.14E-04
1E-6  0       26Mg    1.64E-04  2.46E-04  3.67E-04  5.16E-04  4.43E-04  3.68E-04
1E-6  0       27Al    4.96E-04  1.08E-03  1.49E-03  1.74E-03  1.83E-03  1.73E-03
1E-6  0       28Si    5.74E-02  7.65E-02  1.54E-01  1.41E-01  2.33E-01  2.23E-01
1E-6  0       29Si    3.49E-04  3.00E-04  6.98E-04  4.53E-04  8.37E-04  5.64E-04
1E-6  0       30Si    3.07E-04  2.12E-04  4.25E-04  2.13E-04  3.38E-04  1.64E-04
1E-6  0       31P     1.24E-04  1.08E-04  2.13E-04  1.31E-04  2.05E-04  1.22E-04
1E-6  0       32S     2.47E-02  3.50E-02  6.62E-02  6.76E-02  1.09E-01  1.11E-01
1E-6  0       33S     6.13E-05  6.20E-05  1.45E-04  1.00E-04  1.72E-04  1.27E-04
1E-6  0       34S     3.56E-04  2.55E-04  5.04E-04  2.40E-04  3.24E-04  1.62E-04
1E-6  0       36S     1.02E-08  2.49E-09  4.91E-09  1.17E-09  1.93E-09  4.84E-10
1E-6  0       35Cl    2.86E-05  3.13E-05  4.89E-05  3.16E-05  4.59E-05  2.82E-05
1E-6  0       37Cl    3.34E-06  6.01E-06  8.29E-06  7.29E-06  1.26E-05  1.06E-05
1E-6  0       36Ar    4.76E-03  6.78E-03  1.23E-02  1.36E-02  2.15E-02  2.29E-02
