#Chemical Yields (solar masses)
#Z=0.04 
#M/Msun    H        Elio     Litio      C12       C13       N14       O16       O17       O18       F19       NE20      NE22      NA23     MG24       MG25      MG26     AL26       AL27      SI28     Mf
         0.702      0.30     1e-8      6.92e-3  9.96e-5   2.02e-3   1.87e-2   7.20e-06  3.90e-05  1.00e-06  4.20e-03  2.71e-04  8.32e-05  1.60e-03      -         -        -      1.44e-04  1.76e-03  
#M/Msun    H        Elio     Litio      C12       C13       N14       O16       O17       O18       F19       NE20      NE22     NA23      MG24       MG25      MG26     AL26       AL27      SI28     Mf
         0.736      0.26      1e-8    4.92e-4      -      1.45e-4   2.12e-3      -         -      1.08e-7   4.68e-4   2.71e-5   6.0e-6    1.82e-4   1.41e-5   1.61e-5      -      1.04e-5    2.e-4
  7.50 -6.67D-01  6.67D-01 -4.55D-08 -2.74D-03  7.57D-05  8.51D-03 -6.24D-03  6.54D-05  3.61D-07 -2.63D-07  7.44D-05 -1.63D-04  9.29D-05 -8.72D-04  8.15D-04 -2.08D-05  7.80D-06  1.05D-04  1.46D-05  1.28
  7.00 -5.88D-01  5.88D-01 -4.93D-08 -2.57D-03  6.77D-05  8.13D-03 -6.06D-03  4.98D-05  1.59D-07 -2.52D-07  7.12D-05 -1.53D-04  8.13D-05 -8.23D-04  7.60D-04 -1.39D-05  9.00D-06  1.01D-04  1.19D-05  1.19
  6.50 -5.19D-01  5.19D-01 -4.66D-08 -2.40D-03  6.42D-05  7.87D-03 -5.97D-03  3.78D-05  9.98D-08 -2.37D-07  6.43D-05 -1.43D-04  3.63D-04 -7.78D-04  7.00D-04 -7.33D-06  1.04D-05  1.07D-04  9.61D-06  1.10
  6.00 -4.81D-01  4.80D-01 -4.31D-08 -2.03D-03  8.60D-05  7.99D-03 -5.57D-03  2.82D-05  2.66D-08 -2.29D-07  5.79D-05 -1.29D-04  7.05D-05 -7.14D-04  6.35D-04 -1.57D-06  1.19D-05  1.09D-04  7.63D-06  1.03
  5.50 -4.17D-01  4.17D-01 -4.05D-08 -1.83D-03  6.12D-05  7.23D-03 -5.53D-03  2.06D-05  1.09D-08 -2.08D-07  4.77D-05 -1.10D-04  7.00D-05 -5.95D-04  5.16D-04  1.48D-06  1.23D-05  1.07D-04  5.50D-06  0.99
  5.00 -3.26D-01  3.22D-01 -3.65D-08 -8.66D-04  1.29D-04  9.40D-03 -4.59D-03  1.59D-05  5.93D-09 -1.85D-07  4.57D-05 -8.87D-05  9.77D-05 -4.23D-04  3.71D-04  4.11D-06  1.13D-05  8.68D-05  6.93D-06  0.94
  4.50 -2.38D-01  2.32D-01 -3.14D-08 -6.51D-04  1.41D-04  9.82D-03 -3.37D-03  1.43D-05  4.09D-09 -9.67D-08  4.38D-05 -7.03D-05  1.77D-04 -2.21D-04  2.43D-04  1.43D-05  8.07D-06  5.54D-05  7.12D-06  0.90
  4.00 -1.49D-01  1.40D-01 -2.80D-08 -2.28D-04  1.46D-04  1.01D-02 -1.23D-03  1.44D-05  3.37D-09 -1.28D-07  2.89D-05 -5.95D-05  1.39D-04 -6.38D-05  8.35D-05  9.33D-06  3.35D-06  3.23D-05  7.58D-06  0.87
